x1,x2,y1mean,y1var,y2mean,y2var
0.5,5.0,6.7754985776622005,5.3553808175159645,1.4160094492442274,0.1436219926413385
1.0,5.0,9.37249706325682,5.480040069108652,1.3721938413743937,0.1459101035180889
1.5,5.0,12.37775244622212,5.553754808439179,1.2694674164714006,0.152589419565574
0.5,7.0,10.525345200533264,4.970620232071161,2.7670553804916524,0.2584045078311467
1.0,7.0,16.327142713391105,5.100491655711207,2.571069555250233,0.2532354283729636
1.5,7.0,23.89621900363716,5.1830839878925055,2.287276654301712,0.2523234186175742
0.5,9.0,6.072796992125204,3.935060012303534,2.0035005555238588,0.5645984175736088
1.0,9.0,6.026753502218436,4.018661388803945,1.4957743377360389,0.5403610874547171
1.5,9.0,6.802142561532758,4.088410230560295,1.245295547074971,0.5194868443571001
0.5,2.0,31.112787004079678,4.897916556497605,0.5335662193321706,0.020938417702693366
0.5,7.5,8.981046478322336,5.265637808305862,2.420389873092272,0.4366063302832402
0.5,12.0,14.35891878001725,3.796194763135476,1.809676761336339,0.6118990589872788
2.0,2.0,69.76118695712272,9.4083024784338,0.376301350332359,0.004779184457532457
2.0,6.5,23.093344224434055,24.211919376573285,1.0413789266415132,0.056790306006265896
2.0,12.0,12.96914677916577,6.970688644532996,1.8722001392464547,0.18797614367549234
